Date,Time,16-bit Signed
2022/11/24,19:17:44,1
2022/11/24,19:18:44,1
2022/11/24,19:19:44,1
2022/11/24,19:20:44,2
2022/11/24,19:21:44,2
2022/11/24,19:22:44,2
2022/11/24,19:23:44,2
2022/11/24,19:24:44,2
2022/11/24,19:25:44,3
2022/11/24,19:26:44,3
2022/11/24,19:27:44,3
2022/11/24,19:28:44,3
2022/11/24,19:29:44,0
2022/11/24,19:30:44,0
2022/11/24,19:31:44,0
2022/11/24,19:32:44,0
2022/11/24,19:33:44,0
2022/11/24,19:34:44,0
2022/11/24,19:35:44,0
2022/11/24,19:36:44,0
2022/11/24,19:37:44,0
2022/11/24,19:38:44,0
2022/11/24,19:39:44,0
2022/11/24,19:40:44,0
2022/11/24,19:41:44,0
2022/11/24,19:42:44,0
2022/11/24,19:43:44,0
2022/11/24,19:44:44,0
2022/11/24,19:45:44,0
2022/11/24,19:45:44,0
